sentence,target
"Hello, my name is John.", 0
"I'm 14 years old.", 1
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,1
"Forest fire near La Ronge Sask. Canada",1
"All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected",1
"13,000 people receive #wildfires evacuation orders in California",1
"Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school",1
"#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires",1
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",1
"I'm on top of the hill and I can see a fire in the woods...",1
"There's an emergency evacuation happening now in the building across the street",1
"I'm afraid that the tornado is coming to our area...",1
"Three people died from the heat wave so far",1
"Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding",1
"#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count",1
"#Flood in Bago Myanmar #We arrived Bago",1
"Damage to school bus on 80 in multi car crash #BREAKING",1
"What's up man?",0
"I love fruits",0
"Summer is lovely",0
"My car is so fast",0
"28,,,"What a goooooooaaaaaal!!!!!!",0
